experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
151,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_NORMAL,0.5189393939393939,0.45454545454545453,0.06439393939393942,0.4365935694740043,0.45454545454545453,0.31523259349346305,0.5833333333333334,0.5579545454545455,OK,
152,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105,0.5098484848484849,0.43636363636363634,0.07348484848484851,0.4325441919191919,0.43636363636363634,0.3071338383838384,0.5833333333333334,0.5579545454545455,OK,
153,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_110,0.5007575757575757,0.41818181818181815,0.08257575757575761,0.42936392311392313,0.41818181818181815,0.3007733007733007,0.5833333333333334,0.5579545454545455,OK,
154,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_MED_105,0.5189393939393939,0.45454545454545453,0.06439393939393942,0.44517045454545456,0.45454545454545453,0.33238636363636365,0.5833333333333334,0.5579545454545455,OK,
155,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105_MED_105,0.5007575757575757,0.41818181818181815,0.08257575757575761,0.4276717746826443,0.41818181818181815,0.297389003910743,0.5833333333333334,0.5579545454545455,OK,
156,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_NORMAL,0.5424242424242424,0.41818181818181815,0.12424242424242424,0.47923196348243785,0.41818181818181815,0.3161891871569291,0.6666666666666666,0.6422747398079466,OK,
157,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105,0.5515151515151515,0.43636363636363634,0.11515151515151514,0.4920709763214507,0.43636363636363634,0.34186721283495475,0.6666666666666666,0.6422747398079466,OK,
158,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_110,0.5431818181818182,0.43636363636363634,0.10681818181818184,0.48388870331351963,0.43636363636363634,0.34328245713208966,0.65,0.6244949494949495,OK,
159,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_MED_105,0.5515151515151515,0.43636363636363634,0.11515151515151514,0.4997655841701063,0.43636363636363634,0.35725642853226597,0.6666666666666666,0.6422747398079466,OK,
160,CYCLIC_AND_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month_sin,month_cos,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105_MED_105,0.5333333333333333,0.4,0.1333333333333333,0.47412455852908064,0.4,0.30597437725021476,0.6666666666666666,0.6422747398079466,OK,
161,BASE_RAW,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id",0.34,0.66,FULL_BALANCED,P_NORMAL,0.5977272727272727,0.5454545454545454,0.052272727272727304,0.5356104722526922,0.5454545454545454,0.45262115349180027,0.65,0.6185997910135841,OK,
